-2634,-2632,-2630,-2630,-2628,-2632,-2632,-2630,-2628,-2632,-2626,-2628,-2626,-2624,-2624,-2622,-2622,-2620,-2618,-2616,-2616,-2614,-2612,-2612,-2610,-2612,-2614,-2612,-2610,-2610,-2604,-2604,-2604,-2604,-2604,-2604,-2602,-2596,-2602,-2604,-2606,-2606,-2606,-2606,-2608,-2606,-2606,-2608,-2610,-2608,
-2634,-2632,-2630,-2632,-2630,-2630,-2630,-2628,-2628,-2628,-2628,-2630,-2628,-2622,-2624,-2622,-2622,-2620,-2616,-2616,-2614,-2616,-2612,-2614,-2610,-2610,-2612,-2610,-2612,-2608,-2604,-2602,-2602,-2602,-2604,-2604,-2604,-2604,-2604,-2604,-2606,-2604,-2604,-2604,-2606,-2606,-2608,-2606,-2608,-2606,
-2632,-2630,-2628,-2628,-2628,-2628,-2628,-2626,-2626,-2626,-2626,-2628,-2628,-2624,-2622,-2622,-2620,-2620,-2616,-2616,-2614,-2614,-2608,-2610,-2610,-2610,-2610,-2606,-2608,-2608,-2604,-2602,-2600,-2602,-2604,-2604,-2604,-2604,-2604,-2604,-2604,-2604,-2600,-2602,-2606,-2608,-2610,-2610,-2606,-2606,
-2630,-2628,-2628,-2626,-2628,-2628,-2626,-2626,-2624,-2626,-2626,-2624,-2622,-2618,-2622,-2622,-2618,-2616,-2612,-2614,-2614,-2610,-2610,-2608,-2608,-2608,-2608,-2612,-2606,-2606,-2604,-2602,-2598,-2602,-2604,-2604,-2604,-2604,-2604,-2604,-2604,-2602,-2602,-2604,-2606,-2606,-2610,-2610,-2610,-2610,
-2630,-2628,-2626,-2628,-2628,-2626,-2626,-2626,-2624,-2626,-2624,-2624,-2622,-2620,-2622,-2618,-2618,-2614,-2612,-2612,-2614,-2610,-2610,-2610,-2608,-2608,-2608,-2612,-2606,-2606,-2604,-2602,-2596,-2602,-2604,-2604,-2602,-2602,-2602,-2604,-2604,-2596,-2602,-2604,-2606,-2608,-2608,-2608,-2610,-2610,
-2630,-2628,-2626,-2626,-2626,-2626,-2626,-2626,-2624,-2622,-2624,-2624,-2620,-2618,-2618,-2614,-2616,-2612,-2610,-2612,-2608,-2610,-2610,-2610,-2610,-2608,-2608,-2612,-2606,-2606,-2604,-2602,-2602,-2602,-2604,-2604,-2602,-2596,-2602,-2604,-2602,-2602,-2602,-2604,-2606,-2606,-2608,-2608,-2610,-2610,
-2630,-2628,-2626,-2626,-2626,-2626,-2626,-2626,-2624,-2622,-2622,-2624,-2620,-2618,-2614,-2614,-2618,-2612,-2610,-2610,-2610,-2612,-2610,-2608,-2610,-2608,-2608,-2612,-2606,-2606,-2604,-2604,-2604,-2604,-2604,-2602,-2602,-2600,-2602,-2604,-2604,-2604,-2604,-2604,-2604,-2606,-2608,-2608,-2610,-2610,
-2630,-2628,-2626,-2624,-2624,-2624,-2624,-2624,-2622,-2622,-2620,-2620,-2616,-2616,-2614,-2614,-2614,-2606,-2608,-2610,-2610,-2612,-2610,-2610,-2610,-2610,-2610,-2612,-2606,-2606,-2604,-2604,-2602,-2602,-2602,-2602,-2600,-2600,-2602,-2602,-2602,-2602,-2602,-2602,-2604,-2606,-2608,-2608,-2606,-2606,
-2626,-2624,-2622,-2622,-2624,-2624,-2622,-2620,-2618,-2620,-2620,-2616,-2616,-2614,-2614,-2612,-2612,-2612,-2610,-2610,-2610,-2610,-2612,-2612,-2612,-2610,-2612,-2612,-2608,-2606,-2604,-2604,-2602,-2598,-2600,-2602,-2602,-2602,-2602,-2602,-2600,-2600,-2600,-2602,-2604,-2606,-2608,-2608,-2608,-2606,
-2626,-2624,-2622,-2624,-2626,-2622,-2622,-2620,-2618,-2618,-2620,-2618,-2616,-2614,-2614,-2612,-2612,-2610,-2610,-2610,-2610,-2610,-2612,-2612,-2610,-2612,-2612,-2610,-2608,-2606,-2604,-2602,-2600,-2598,-2596,-2600,-2600,-2598,-2596,-2596,-2600,-2602,-2602,-2602,-2602,-2604,-2604,-2604,-2604,-2608,
